op_manufacturer_id,op_manufacturer_name,rx_manufacturer_name,final_score,is_match,blocking_key,match_rank
100000000204,ABBVIE INC.,AbbVie Inc,100.0,True,A,1
100000966840,ACACIA PHARMA INC,Acacia Pharma Ltd,100.0,True,A,1
100000141529,ACADIA Pharmaceuticals Inc,ACADIA Pharmaceuticals Inc,100.0,True,A,1
100000956826,"ACCORD HEALTHCARE, INC.",Accord Healthcare,100.0,True,A,1
100000961860,"ADC Therapeutics America, Inc.",ADC Therapeutics America Inc,100.0,True,A,1
100000191757,"AEGEA Medical, Inc.",Arise Medical LLC,59.11643356643357,False,A,1
100000231819,AERIN MEDICAL INC.,Arise Medical LLC,64.70192307692307,False,A,1
100001226925,AGEPHA Pharma FZ LLC,AGEPHA Pharma USA LLC,65.66507621857521,False,A,1
100000151558,"AI Therapeutics, Inc.",Agile Therapeutics Inc,67.79025974025974,False,A,1
100000776814,"AIMMUNE THERAPEUTICS, INC.",Aimmune Therapeutics,100.0,True,A,1
100000521827,AKEBIA THERAPEUTICS INC,Akebia Therapeutics Inc,100.0,True,A,1
100001056884,"ALBIREO PHARMA, INC.",Albireo Pharma Inc,100.0,True,A,1
100000196817,"ALCRESTA THERAPEUTICS, INC.",Akcea Therapeutics Inc,64.64436543848309,False,A,1
100000010705,"ALK-Abello, Inc",ALK-Abello Inc,100.0,True,A,1
100000221800,ALON MEDICAL TECHNOLOGY,Allison Medical Inc,50.775949959016316,False,A,1
100000010948,"AMAG Pharmaceuticals, Inc.",AMAG Pharmaceuticals Inc,100.0,True,A,1
100000291828,"AMDT Holdings, Inc.",AVADIM HOLDINGS INC,60.23521261347348,False,A,1
100000971883,"ANI Pharmaceuticals, Inc.",ANI Pharmaceuticals Inc,100.0,True,A,1
100000151575,APTEVO THERAPEUTICS INC,Aptevo BioTherapeutics LLC,68.56395145291167,False,A,1
100000501813,"AQUESTIVE THERAPEUTICS, INC.",Aquestive Therapeutics,100.0,True,A,1
100000005507,"ARBOR PHARMACEUTICALS, INC.",Arbor Pharmaceuticals,100.0,True,A,1
100001136887,"ARENA PHARMACEUTICALS, INC.",Areva Pharmaceuticals,71.80952380952381,False,A,1
100001156891,"ARGENX US, INC.",argenx US,100.0,True,A,1
100000010702,"ARGON MEDICAL DEVICES, INC.",Arise Medical LLC,51.022678302090064,False,A,1
100000196870,ARKIS BIOSCIENCES INC,Abraxis BioScience LLC,64.72773109243698,False,A,1
100000231820,ARRAY BIOPHARMA INC,Array BioPharma Inc,100.0,True,A,1
100000000129,"ASCEND THERAPEUTICS US, LLC",ASCEND Therapeutics US LLC,100.0,True,A,1
100000000129,"ASCEND Therapeutics US, LLC",ASCEND Therapeutics US LLC,100.0,True,A,1
100000010920,"ASD SPECIALTY HEALTHCARE, LLC",ACI Healthcare USA Inc,53.66061165845649,False,A,1
100000010920,"ASD Specialty Healthcare, LLC",ACI Healthcare USA Inc,53.66061165845649,False,A,1
100000061294,"ASPEN SURGICAL PRODUCTS, INC.",Aplicare Products LLC,52.89697890025575,False,A,1
100000281816,"AVITA MEDICAL AMERICAS, LLC",Arise Medical LLC,51.5551948051948,False,A,1
100000005414,AXOGEN,Alvogen,59.425824175824175,False,A,1
100000151699,"AYTU BioPharma, Inc.",Aytu BioPharma Inc,100.0,True,A,1
100001176922,"Aadi Bioscience, Inc.",Aadi Bioscience,100.0,True,A,1
100000000204,AbbVie Inc.,AbbVie Inc,100.0,True,A,1
100000010680,Abbott Laboratories,Alcon Laboratories Inc,61.03026889368146,False,A,1
100000076383,"Ablative Solutions, Inc.",API Solutions Inc,60.09399979403486,False,A,1
100001021883,Acarix USA Inc.,argenx US,50.33777089783281,False,A,1
100000776816,"Acceleron Pharma, Inc.",Akron Pharma,61.59537337662337,False,A,1
100001051884,"Access Pro Medical, LLC",Arise Medical LLC,52.560578271658215,False,A,1
100000821819,"Accutron, Inc.",AGOURON,52.026785714285715,False,A,1
100000456811,"AcelRx Pharmaceuticals, Inc.",AcelRx Pharmaceuticals Inc,100.0,True,A,1
100000196863,"Acella Pharmaceuticals, LLC",ACELLA PHARMACEUTICALS,100.0,True,A,1
100000196872,Acerta Pharma LLC,Averitas Pharma Inc,65.07252747252747,False,A,1
100000736811,Acerus Pharmaceuticals Corporation,Acerus Pharmaceuticals Corporation,100.0,True,A,1
