op_manufacturer_id,op_manufacturer_name,rx_manufacturer_name,final_score,is_match,blocking_key,match_rank
100000000204,ABBVIE INC.,AbbVie Inc,100.0,True,A,1
100000966840,ACACIA PHARMA INC,Acacia Pharma Ltd,100.0,True,A,1
100000966840,ACACIA PHARMA INC,Accelis Pharma,60.86961186961187,False,A,2
100000966840,ACACIA PHARMA INC,Actavis Pharma Inc,60.86961186961187,False,A,3
100000141529,ACADIA Pharmaceuticals Inc,ACADIA Pharmaceuticals Inc,100.0,True,A,1
100000141529,ACADIA Pharmaceuticals Inc,ARIAD Pharmaceuticals Inc,66.48096257117811,False,A,2
100000141529,ACADIA Pharmaceuticals Inc,Acura Pharmaceuticals Inc,66.15437642732624,False,A,3
100000956826,"ACCORD HEALTHCARE, INC.",Accord Healthcare,100.0,True,A,1
100000956826,"ACCORD HEALTHCARE, INC.",Accord Healthcare Inc,100.0,True,A,2
100000956826,"ACCORD HEALTHCARE, INC.",ACI Healthcare USA Inc,56.93920479688981,False,A,3
100000961860,"ADC Therapeutics America, Inc.",ADC Therapeutics America Inc,100.0,True,A,1
100000961860,"ADC Therapeutics America, Inc.",Acer Therapeutics Inc,59.86964833050737,False,A,2
100000961860,"ADC Therapeutics America, Inc.",Adhera Therapeutics Inc,59.65289191972179,False,A,3
100000191757,"AEGEA Medical, Inc.",Arise Medical LLC,59.11643356643357,False,A,1
100000191757,"AEGEA Medical, Inc.",Allison Medical Inc,51.93443223443223,False,A,2
100000231819,AERIN MEDICAL INC.,Arise Medical LLC,64.70192307692307,False,A,1
100000231819,AERIN MEDICAL INC.,Allison Medical Inc,60.575224775224775,False,A,2
100001226925,AGEPHA Pharma FZ LLC,AGEPHA Pharma USA LLC,65.66507621857521,False,A,1
100001226925,AGEPHA Pharma FZ LLC,Apnar Pharma,54.87678571428572,False,A,2
100001226925,AGEPHA Pharma FZ LLC,APNAR PHARMA LP,54.64564604611184,False,A,3
100000151558,"AI Therapeutics, Inc.",Agile Therapeutics Inc,67.79025974025974,False,A,1
100000151558,"AI Therapeutics, Inc.",Akebia Therapeutics Inc,66.72349026725027,False,A,2
100000151558,"AI Therapeutics, Inc.",Acer Therapeutics Inc,65.8642156862745,False,A,3
100000776814,"AIMMUNE THERAPEUTICS, INC.",Aimmune Therapeutics,100.0,True,A,1
100000776814,"AIMMUNE THERAPEUTICS, INC.",Aimmune Therapeutics Inc,100.0,True,A,2
100000776814,"AIMMUNE THERAPEUTICS, INC.",Agile Therapeutics Inc,63.049013157894734,False,A,3
100000521827,AKEBIA THERAPEUTICS INC,Akebia Therapeutics Inc,100.0,True,A,1
100000521827,AKEBIA THERAPEUTICS INC,Akcea Therapeutics Inc,69.19155998103366,False,A,2
100000521827,AKEBIA THERAPEUTICS INC,Asegua Therapeutics LLC,64.16905901116428,False,A,3
100001056884,"ALBIREO PHARMA, INC.",Albireo Pharma Inc,100.0,True,A,1
100001056884,"ALBIREO PHARMA, INC.",Akron Pharma,59.607642357642355,False,A,2
100001056884,"ALBIREO PHARMA, INC.",Akron Pharma Inc,59.607642357642355,False,A,3
100000196817,"ALCRESTA THERAPEUTICS, INC.",Akcea Therapeutics Inc,64.64436543848309,False,A,1
100000196817,"ALCRESTA THERAPEUTICS, INC.",Acer Therapeutics Inc,63.69214307115036,False,A,2
100000196817,"ALCRESTA THERAPEUTICS, INC.",Acorda Therapeutics Inc,63.330492005414605,False,A,3
100000010705,"ALK-Abello, Inc",ALK-Abello Inc,100.0,True,A,1
100000010705,"ALK-Abello, Inc",ALK-Abello A S,68.30952380952381,False,A,2
100000221800,ALON MEDICAL TECHNOLOGY,Allison Medical Inc,50.775949959016316,False,A,1
100000010948,"AMAG Pharmaceuticals, Inc.",AMAG Pharmaceuticals Inc,100.0,True,A,1
100000010948,"AMAG Pharmaceuticals, Inc.",Armas Pharmaceuticals Inc,69.20813490104248,False,A,2
100000010948,"AMAG Pharmaceuticals, Inc.",Amedra Pharmaceuticals LLC,67.62919830288251,False,A,3
100000291828,"AMDT Holdings, Inc.",AVADIM HOLDINGS INC,60.23521261347348,False,A,1
100000291828,"AMDT Holdings, Inc.",Allegis Holdings LLC,53.71947449102622,False,A,2
100000971883,"ANI Pharmaceuticals, Inc.",ANI Pharmaceuticals Inc,100.0,True,A,1
