Facility_Name,City,total_providers,bcbsmi_providers,bcbsmi_coverage_pct,providers_analyzed,providers_with_payments,payment_penetration_pct,total_payments,avg_payment_per_provider,max_provider_payment,total_transactions,avg_manufacturers_per_provider,total_rx_cost,total_rx_count,unique_drugs,top_drugs,max_drug_prescribers,payment_intensity_score,payment_penetration_score,prescription_volume_score,provider_concentration_score,composite_risk_score,risk_rank,risk_category
Grass Lake Surgery Center,Grass Lake,15,12,80.0,12,12,100.0,3533872.42,294489.368333333,3035309.96,1113,8.083333333333334,0.0,0.0,0,0,0,27.366746767166646,30.0,0.0,16.0,73.36674676716665,1.0,High
Pro Care Health Solutions,Bingham Farms,23,23,100.0,23,19,82.61,3964689.37,208667.861578947,3904492.44,2027,12.782608695652174,6192438.19238,9160.0,6,"ELIQUIS: $2.2M, OZEMPIC: $1.3M, JARDIANCE: $1.2M",21,19.391397925827434,24.782999999999998,0.06249312032537642,20.0,64.2368910461528,2.0,High
Corewell Health William Beaumont University Hospital (AKA Beaumont Hospital - Royal Oak),Royal Oak,7497,6703,89.41,6703,5539,82.63,87286785.9,15758.582036469,4882592.56,504883,11.642548112785317,1981798367.608619,2319465.0,8,"ELIQUIS: $437.3M, TRULICITY: $412M, OZEMPIC: $351.7M",3986,1.464436989499476,24.788999999999998,20.0,17.882,64.13543698949948,3.0,High
Optalis Health & Rehabilitation of Ann Arbor (FKA ProMedica Skilled Nursing and Rehabilitation - Ann Arbor),Ann Arbor,31,23,74.19,23,14,60.87,4519555.64,322825.402857143,4442860.9,1455,6.608695652173913,5769483.67538,8160.0,7,"ELIQUIS: $2.9M, XARELTO: $1.4M, TRULICITY: $0.6M",18,30.0,18.261,0.0582247293133244,14.838000000000001,63.15722472931332,4.0,High
Heart & Vascular Institute,Dearborn,18,17,94.44,17,17,100.0,2220641.78,130625.987058824,1444412.74,4982,32.23529411764706,11054195.78319,16687.0,5,"ELIQUIS: $4.1M, XARELTO: $3.2M, OZEMPIC: $1.7M",13,12.139006339283846,30.0,0.11155721958262377,18.888,61.138563558866466,5.0,High
Corewell Health Beaumont Troy Hospital (AKA Beaumont Hospital - Troy),Troy,4974,4545,91.38,4545,3844,84.58,71184478.09,18518.33457076,4882592.56,381495,12.549394939493942,1499383417.541594,1756450.0,8,"ELIQUIS: $358.9M, TRULICITY: $290.8M, OZEMPIC: $267.1M",2641,1.720899384639326,25.374,15.131543572223832,18.276,60.50244295686316,6.0,High
Corewell Health East (FKA Beaumont Health System),Royal Oak,4207,3957,94.06,3957,3380,85.42,61769768.61,18275.079470414,4882592.56,369197,13.654030831437963,1399155387.999394,1684233.0,8,"ELIQUIS: $364M, TRULICITY: $261.8M, OZEMPIC: $235.5M",2300,1.6982938122593565,25.626,14.120057931904705,18.812,60.256351744164064,7.0,High
Town Center ASC,Troy,50,36,72.0,36,34,94.44,5943111.12,174797.385882353,4882592.56,4840,27.75,0.0,0.0,0,0,0,16.243831898170463,28.332,0.0,14.399999999999999,58.97583189817046,8.0,Medium
Corewell Health Physicians (FKA Beaumont Health Physicians),Holland,6070,5458,89.92,5458,4448,81.5,67910828.88,15267.722320144,4882592.56,408238,11.620556980578975,1488381886.715799,1805765.0,8,"ELIQUIS: $381.6M, TRULICITY: $277.7M, OZEMPIC: $255.4M",3189,1.418821646470642,24.45,15.020517839176426,17.984,58.87333948564707,9.0,Medium
Fox Run Assisted Living,Novi,50,50,100.0,50,40,80.0,6079502.04,151987.551,2711468.86,6193,12.060000000000002,15038276.2672,17862.0,7,"TRULICITY: $3.5M, ELIQUIS: $3M, JARDIANCE: $2.8M",39,14.12412557885889,24.0,0.15176393838033353,20.0,58.27588951723923,10.0,Medium
McLaren Health Care Corporation,Grand Blanc,3040,2887,94.97,2887,2608,90.34,28882860.81,11074.716568252,2695647.23,240325,14.04641496363006,1086850729.59248,1294718.0,8,"ELIQUIS: $330M, TRULICITY: $201.3M, OZEMPIC: $155.9M",1820,1.0291677609849799,27.102,10.968328033330177,18.994,58.09349579431516,11.0,Medium
Corewell Health Dearborn Hospital (AKA Beaumont Hospital - Dearborn),Dearborn,4323,3951,91.39,3951,3318,83.98,40880202.12,12320.7360217,2711468.86,318369,12.03340926347759,1334660625.435319,1591720.0,8,"TRULICITY: $297.6M, ELIQUIS: $273.6M, OZEMPIC: $247.5M",2551,1.1449597131442766,25.194,13.469186848163739,18.278000000000002,58.08614656130801,12.0,Medium
Bloomfield Hills Surgical Center,Bloomfield Hills,22,22,100.0,22,22,100.0,1600960.72,72770.941818182,945890.78,3365,23.27272727272727,0.0,0.0,0,0,0,6.7625664994880825,30.0,0.0,20.0,56.76256649948808,13.0,Medium
Corewell Health Farmington Hills Hospital (AKA Beaumont Hospital - Farmington Hills),Farmington Hills,2847,2658,93.36,2658,2346,88.26,37799107.71,16112.151624041,2711468.86,267142,14.722347629796833,986286037.095214,1188775.0,8,"TRULICITY: $225.7M, ELIQUIS: $199.4M, OZEMPIC: $189.5M",1738,1.4972940309010594,26.478,9.953444842982064,18.672,56.60073887388313,14.0,Medium
Corewell Health Beaumont Grosse Pointe Hospital (AKA Beaumont Hospital - Grosse Pointe),Grosse Pointe,2967,2716,91.54,2716,2298,84.61,40765893.47,17739.727358573,4882592.56,235968,12.899852724594997,1112946231.712335,1284795.0,8,"ELIQUIS: $242.9M, TRULICITY: $242.6M, OZEMPIC: $212.3M",1721,1.6485438136127595,25.383,11.23167977028154,18.308000000000003,56.571223583894295,15.0,Medium
Michigan Institute for Neurological Disorders,Farmington Hills,37,36,97.3,36,36,100.0,2557277.49,71035.485833333,1050433.64,8509,27.72222222222222,0.0,0.0,0,0,0,6.601291460148912,30.0,0.0,19.46,56.061291460148915,16.0,Medium
Michigan Institute of Urology PC,Troy,98,93,94.9,93,90,96.77,7087951.04,78755.011555556,4882592.56,13473,27.451612903225808,12937733.85673,12900.0,6,"OZEMPIC: $6M, TRULICITY: $4M, JARDIANCE: $2.7M",34,7.318663047443643,29.031,0.13056559202177165,18.98,55.46022863946541,17.0,Medium
Bald Mountain Surgical Center,Lake Orion,49,28,57.14,28,27,96.43,4340098.2,160744.377777778,3904492.44,2726,16.107142857142854,8241785.63796,917.0,7,"STELARA: $8.1M, XARELTO: $0.1M, ELIQUIS: $0M",16,14.937893024073208,28.929000000000002,0.0831748150837881,11.428,55.378067839157,18.0,Medium
